,pIC50
1175,6.413412695328245
1176,8.0762380391713
1177,7.229147988357855
1178,7.142064735280571
1179,6.8696662315049934
1180,7.39040559077478
1181,6.437707135543525
1182,8.29413628771608
1183,8.280668713016274
1184,8.247951552180561
1185,7.739928612014925
1186,7.769551078621726
1187,6.617982957425132
1188,7.049635145623877
1189,7.287350298372789
1190,6.978810700930062
1191,7.236572006437063
1192,6.6307841425898575
1193,6.772113295386326
1194,6.510041520575165
1195,6.718966632752273
1196,6.471083299722345
1197,6.714442690992226
1198,6.913640169325252
1199,5.0
1200,5.0
1201,5.0
1202,5.0
1203,5.0
1204,5.0
1205,5.0
1206,5.0
1207,5.0
1208,5.0
1209,5.721246399047171
1210,6.0
1211,5.7447274948966935
1212,5.376750709602099
1213,6.096910013008056
1214,5.886056647693163
1215,5.657577319177793
1216,4.928117992693875
1217,3.7731424297112763
1218,5.269999835325842
1219,4.510000060783275
1220,5.9699997184078955
1221,5.579999668433626
1222,6.919987152892072
1223,8.240030142445693
1224,8.240030142445693
1225,6.770011163455189
1226,7.199970640755866
1227,7.439973751087107
1228,8.179995693191682
1229,8.130005999878259
1230,8.480040819247932
1231,8.480040819247932
1232,7.730020323354676
1233,6.770011163455189
1234,10.154901959985743
1235,10.698970004336019
1236,9.920818753952375
1237,9.638272163982407
1238,9.886056647693163
1240,5.5718652059712115
1241,5.501689446210399
1242,3.8096683018297086
1243,3.896196279044043
1244,3.8601209135987635
1245,3.384049948343599
1246,3.2479515521805613
1247,2.9788107009300617
1248,3.2262135550188065
1249,3.3635121036466344
1250,3.4436974992327127
1251,4.3979400086720375
1252,5.661543506395395
1253,5.468521082957745
1254,5.634512015109101
1255,5.105683937315561
1256,3.041914151478915
1257,3.2034256667895704
1258,3.4111682744057927
1259,3.8181564120552274
1260,4.987162775294828
1261,5.549750891680639
1262,5.539102157243452
1263,5.109020403010311
1264,5.204119982655925
1265,4.554395796726403
1266,4.777283528852417
1267,7.978810700930062
1268,4.094204119632131
1269,4.7423214251308154
1270,5.508638306165727
1271,5.6439741428068775
1272,5.798602875679548
1273,5.694648630553377
1274,5.910094888560602
1275,6.55129368009492
1276,6.8297382846050425
1277,7.30715308072277
1278,7.73754891026957
1279,5.645891560852599
1280,6.146301788223825
1281,7.20690839982342
1282,6.508638306165727
1283,6.913640169325252
1284,6.436518914605589
1285,4.609064892896621
1286,6.434152181326482
1287,6.005682847330363
1288,6.787812395596042
1289,6.518557371497695
1290,6.049635145623877
1291,5.640164517660112
1292,6.694648630553377
1293,4.518557371497695
1294,6.769551078621726
1296,6.716698771296451
1297,6.876148359032914
1298,6.903089986991944
1299,7.218963061378868
1300,6.841637507904751
1301,5.636388020107856
1302,6.226945306635737
1303,7.1432711096171175
1304,7.860120913598763
1305,7.291579099865287
1306,7.134896025358872
1307,7.889410289700751
1308,7.1090204030103115
1309,6.910094888560602
1310,4.935542010773082
1311,7.761953896871204
1312,8.108462542327436
1313,8.627087997029893
1314,7.866461091629782
1315,8.647817481888637
1316,7.211124884224583
1317,7.371611069949688
1318,6.910094888560602
1319,8.022276394711152
1320,8.575118363368933
1321,8.515700160653214
1322,8.286509456906057
1323,6.869988050328096
1324,5.889999848866887
1325,7.0835460514500745
1326,7.154901959985743
1327,6.570570735618213
1328,6.618704376996174
1329,6.4162346317150005
1330,6.543026986364183
1331,6.635449004646028
1332,6.636764195516306
1333,6.8683813356508745
1334,7.0835460514500745
1335,5.4165744995934935
1336,5.359717370303319
1337,5.507518989871123
1338,6.286509456906058
1339,6.0762380391713
1340,6.576754126063192
1341,6.454692883534176
1342,5.280502983389418
1343,6.52432881167557
1344,4.301029995663981
1345,4.301029995663981
1346,4.301029995663981
1347,4.301029995663981
1348,4.301029995663981
1349,4.301029995663981
1350,4.301029995663981
1351,4.301029995663981
1352,4.301029995663981
1353,4.301029995663981
1354,4.301029995663981
1355,4.301029995663981
1356,4.301029995663981
1357,4.301029995663981
1358,4.301029995663981
1359,4.301029995663981
1360,4.301029995663981
1361,4.301029995663981
1362,4.301029995663981
1363,4.301029995663981
1364,4.301029995663981
1365,4.301029995663981
1366,4.301029995663981
1367,4.301029995663981
1368,4.301029995663981
1369,4.301029995663981
1370,4.301029995663981
1371,4.301029995663981
1372,4.301029995663981
1373,4.301029995663981
1374,4.301029995663981
1375,4.301029995663981
1376,4.301029995663981
1377,4.301029995663981
1378,4.301029995663981
1379,4.301029995663981
1380,8.118615343229427
1381,2.6757175447023074
1382,8.184422251675732
1383,7.634512015109101
1384,8.170696227168975
1385,7.801342913045577
1386,8.26440110030182
1387,7.705533773838407
1388,8.177178354696895
1389,8.73754891026957
1390,6.017728766960431
1391,5.412289034981089
1392,7.0
1393,5.045275209020937
1394,5.79317412396815
1395,3.344861565188618
1396,3.8096683018297086
1397,3.94692155651658
1398,5.634512015109101
1399,5.844663962534939
1400,5.414539270491499
1401,8.585026652029182
1402,5.0
1403,4.280668713016273
1404,4.357535479757878
1405,5.4698003017969175
1406,6.021363051615525
1407,7.440093374963888
1408,8.481486060122112
1409,4.548213564475709
1410,6.7447274948966935
1411,5.221848749616356
1412,5.373659632624958
1413,6.485452247339714
1414,5.34008379993015
1415,6.7423214251308154
1416,3.5734887386354246
1417,5.557520230935552
1418,5.145086977692144
1419,6.258848401148215
1420,7.549750891680639
1421,7.665546248849069
1422,6.645891560852599
1423,7.158015195409886
1424,7.294992040666664
1425,7.449771646944906
1426,7.7423214251308154
1427,8.2518119729938
1428,7.954677021213342
1429,8.200659450546418
1430,8.193820026016112
1431,8.0
1432,7.34008379993015
1433,7.645891560852599
1434,7.031517051446065
